OPERADOR,DEPARTAMENTO,MUNICIPIO,NOMBRE ZONA WIFI,ID ZONA WIFI,DIRECCION,LONGITUD ,LATITUD,FECHA ACTIVACIÓN
UNE,Antioquia,Betulia,PARQUE PRINCIPAL,509306001,CL. 20 CON 21 (PARQUE PRINCIPAL),-75984583,611338,06/02/2017 12:00:00 AM
UNE,Antioquia,Briceño,PARQUE PRINCIPAL,510706001,CARRERA 7 CON CALLE 5,-75551794,7110513,06/02/2017 12:00:00 AM
UNE,Antioquia,Buriticá,PARQUE PRINCIPAL,511306001,CALLE 8 #3-56,-75906688,6719813,06/02/2017 12:00:00 AM
UNE,Antioquia,Cáceres,PARQUE PRINCIPAL,512006001,CARRERA 50 CON CALLE #50,-75347805,7582297,06/02/2017 12:00:00 AM
UNE,Antioquia,Caicedo,PARQUE PRINCIPAL,512506001,CL. 6 #4-2 (PARQUE PRINCIPAL CAICEDO),-759825,6405833,06/02/2017 12:00:00 AM
UNE,Antioquia,Caldas,PARQUE PRINCIPAL,512906001,CRA. 50 #129 SUR (PARQUE PRINCIPAL,-75635686,6091847,06/02/2017 12:00:00 AM
UNE,Antioquia,Caldas,PARQUE HABITAD DEL SUR, BARRIO MANDALAY,512906002,CR. 50 # 142A SUR,-75635111,6080555,06/02/2017 12:00:00 AM
UNE,Antioquia,Campamento,PARQUE PRINCIPAL,513406001,CALLE 10 CON CARRERA 10,-75296211,6979058,06/02/2017 12:00:00 AM
UNE,Antioquia,Cañasgordas,PARQUE PRINCIPAL,513806001,CL. 33 #30-1 (PARQUE PRINCIPAL CAÑASGORDAS),-76025225,6749725,06/02/2017 12:00:00 AM
UNE,Antioquia,Caracolí,PARQUE PRINCIPAL,514206001,CRA. 21B #21-2 (PARQUE PRINCIPAL CARACOLÍ),-74757019,6411119,06/02/2017 12:00:00 AM
UNE,Antioquia,Caramanta,PARQUE PRINCIPAL,514506001,CARRERA 21 CON CALLE 19,-75644555,5548697,06/02/2017 12:00:00 AM
UNE,Antioquia,Carepa,PARQUE PRINCIPAL,514706001,CARRERA 73 ENTRE CALLES 80 Y 76A,-76655725,7755781,06/02/2017 12:00:00 AM
UNE,Antioquia,Carolina,PARQUE PRINCIPAL,515006001,CRA. 49 CON CALLE 49 (PARQUE PRINCIPAL),-75281247,6723491,06/02/2017 12:00:00 AM
UNE,Antioquia,Caucasia,PARQUE PRINCIPAL,515406001,PARQUE PRINCIPAL CAUCASIA,-751983,798776,06/02/2017 12:00:00 AM
UNE,Antioquia,Chigorodó,PARQUE PRINCIPAL,517206001,CL. 101 #105-18 (PARQUE CHIGORODÓ),-76685239,767233,06/02/2017 12:00:00 AM
UNE,Antioquia,Cisneros,PARQUE PRINCIPAL,519006001,CL 19#20,-7508863,6538383,06/02/2017 12:00:00 AM
UNE,Antioquia,Ciudad Bolívar,PARQUE PRINCIPAL,510106001,CLL 49 (PARQUE PRINCIPAL),-76020686,5849989,06/02/2017 12:00:00 AM
UNE,Antioquia,Cocorná,PARQUE PRINCIPAL,519706001,CARRERA 20 CON CALLE #20,-75185288,6057521,06/02/2017 12:00:00 AM
UNE,Antioquia,Concepción,PARQUE PRINCIPAL,520606001,CL. 20 #20-2 (PARQUE PRINCIPAL,-75259344,6395222,06/02/2017 12:00:00 AM
